lib_name,lib_code
"B503.914爱拉斯谟(Erasmus,Desi-derius,1465~1536年)",B503.914
"B503.915蒙台涅(Montaigne,M.E.de,1533~1592年)",B503.915
"B503.916斐未斯(Vives,Louis,1492~1540年)",B503.916
B503.92科学和自然哲学,B503.92
"B503.921尼古拉(库萨的)(Nicolaus,Cusanus,1401~1464年)",B503.921
"B503.922伽利略(Galileo,Galilei,1564~1642年)",B503.922
"B503.923布鲁诺(Bruno,Giordano,1548~1600年)",B503.923
B503.99其他,B503.99
B504十七~十九世纪前期哲学,B504
B505十九世纪后期~二十世纪哲学,B505
B506二十一世纪哲学,B506
B507马克思主义哲学在欧洲的传播与发展,B507
B511.2俄罗斯哲学,B511.2
B512俄国及苏联（1917~1991年）哲学,B512
B512.3十八世纪及其以前哲学,B512.3
"B512.31罗蒙诺索夫(Ломоносов,М.В.1711~1765年)",B512.31
"B512.32拉吉舍夫(Раднщев,А.Н.1749~1802年)",B512.32
B512.39其他,B512.39
B512.4十九世纪哲学,B512.4
"B512.41别林斯基(Белинcкий,В.Г.1811~1848年)",B512.41
"B512.42赫尔岑(Герцен,А.И.1812~1870年）",B512.42
"B512.43奥格辽夫(Огарёв,Н.П.1813~1877年)",B512.43
"B512.44车尔尼雪夫斯基(Черныщевский,Н.Г.1828~1889年)",B512.44
"B512.45杜勃罗留勃夫(Добролюбов,Н.А.1836~1861年)",B512.45
"B512.46皮萨列夫(Писарев,Д.И.1840~1868年)",B512.46
B512.49其他,B512.49
B512.5十九世纪后期至二十世纪哲学,B512.5
"B512.51巴枯宁(Бакунин,М.А.1814~1876年)",B512.51
"B512.52拉甫罗夫(Лавров,П.Л.1823~1900年)",B512.52
"B512.53特卡切夫(Ткачев,П.Н.1844~1885年)",B512.53
"B512.54普列汉诺夫(Плеханов,Г.В.1856~1918年)",B512.54
"B512.55波格丹诺夫(Богданов,А.А.1873~1928年)",B512.55
B512.59其他,B512.59
B512.6二十一世纪哲学,B512.6
B512.7马克思主义哲学的传播与发展,B512.7
B516德国哲学,B516
B516.2十七世纪哲学,B516.2
"B516.21伯麦(Bohme,Jakob.1575~1624年)",B516.21
"B516.22莱布尼兹(Leibniz,G.W.1646~1716年)",B516.22
B516.29其他,B516.29
B516.3十八世纪~十九世纪前期哲学,B516.3
"B516.31康德(Kant,I.1724~1804年)",B516.31
"B516.32福尔斯特(Forster,G.1754~1794年)",B516.32
"B516.33费希特(Fichte,J.G.1762~1814年)",B516.33
"B516.34谢林(Schelling,F.W.J.1775~1854年)",B516.34
"B516.35黑格尔(Hegel,G.W.F.1770~1831年)",B516.35
"B516.36费尔巴哈(Feuerbach,L.A.1804~1872年)",B516.36
B516.39其他,B516.39
B516.4十九世纪后期哲学,B516.4
"B516.41叔本华(Schopenhauer,A.1788~1860年)",B516.41
"B516.42赫尔巴特(Herbart,J.F.1776~1841年)",B516.42
"B516.43洛兹(Lotze,R.H.1817~1881年)",B516.43
"B516.44海克尔(Haeckel,E.H.1834~1919年)",B516.44
"B516.45冯德(Wundt,W.1832~1920年)",B516.45
"B516.46哈特曼(Hartmann,E.1842~1906年)",B516.46
"B516.47尼采(Nietzsche,F.1844~1900年)",B516.47
B516.49其他,B516.49
B516.5二十世纪哲学,B516.5
"B516.51倭铿(Eucken,R.C.1846~1926年)",B516.51
"B516.52胡塞尔(Husserl,E.1859~1938年)",B516.52
"B516.53雅斯贝尔斯(Jaspers,K.1883~1969年)",B516.53
"B516.54海德格尔(Heidegger,M.1889~1976年)",B516.54
B516.59其他,B516.59
B516.6二十一世纪哲学,B516.6
B516.7马克思主义哲学在德国的产生和发展,B516.7
B517德意志民主共和国哲学(1945~1990年),B517
B518德意志联邦共和国哲学(1945~1990年),B518
B521奥地利哲学,B521
B534丹麦哲学,B534
B541阿尔巴尼亚哲学,B541
B546意大利哲学,B546
B551西班牙哲学,B551
B561英国哲学,B561
B561.2十七、十八世纪哲学,B561.2
"B561.21培根(Bacon,F.1561~1626年)",B561.21
"B561.22霍布斯(Hobbes,T.1588~1679年)",B561.22
"B561.23克德沃斯(Cudworth,R.1617~1688年)",B561.23
"B561.24洛克(Locke,J.1632~1704年)",B561.24
"B561.25托兰德(Toland,John,1670~1722年)",B561.25
"B561.26柯林斯(Collins,Anthony,1676~1729年)",B561.26
"B561.27贝克莱(Berkeley,G.1684~1753年)",B561.27
"B561.28李德(Reid,T.1710~1796年)",B561.28
"B561.291休谟(Hume,D.1711~1776年)",B561.291
B561.299其他,B561.299
B561.4十九世纪哲学,B561.4
"B561.41边沁(Bentham,J.1748~1832年)",B561.41
"B561.42穆勒(Mill,J.S.1806~1873年)",B561.42
"B561.43赫胥黎(Huxley,T.H.1825~1895年)",B561.43
"B561.44格林(Green,T.H.1836~1882年)",B561.44
"B561.45斯宾塞(Spencer,H.1820~1903年)",B561.45
"B561.46布拉德莱(Bradley,F.H.1846~1924年)",B561.46
"B561.47鲍桑葵(Bosanguet,B.1848~1923年)",B561.47
B561.49其他,B561.49
B561.5二十世纪哲学,B561.5
"B561.51亚历山大(Alexander,S.1859~1938年)",B561.51
"B561.52怀特海(Whitehead,A.N.1861~1947年)",B561.52
"B561.53麦克特(Mctaggart,J.M.E.1866~1925年)",B561.53
"B561.54罗素(Russell,B.1872~1970年)",B561.54
"B561.55穆尔(Moore,G.E.1873~1958年)",B561.55
